iotaid, islandname
"AF-001", "Agalega Islands",
"AF-002", "Amsterdam & St Paul Islands",
"AF-003", "Ascension Island",
"AF-004", "Canary Islands",
"AF-005", "Cape Verde - Leeward Islands (aka Sotavento)",
"AF-006", "Diego Garcia Island",
"AF-007", "Comoro Islands",
"AF-008", "Crozet Islands",
"AF-009", "Europa Island",
"AF-010", "Bioco (Fernando Poo) Island",
"AF-011", "Glorioso Islands",
"AF-012", "Juan de Nova",
"AF-013", "Madagascar",
"AF-014", "Madeira Archipelago",
"AF-015", "Saint Brandon Islands",
"AF-016", "Reunion Island",
"AF-017", "Rodrigues Island",
"AF-018", "Pantelleria Island",
"AF-019", "Pelagie Islands",
"AF-020", "Bijagos Archipelago",
"AF-021", "Prince Edward and Marion Islands",
"AF-022", "St Helena Island",
"AF-023", "Sao Tome Island",
"AF-024", "Seychelles - Inner Islands",
"AF-025", "Aldabra Islands",
"AF-026", "Cosmoledo Islands",
"AF-027", "Mayotte Island",
"AF-028", "Socotra",
"AF-029", "Tristan da Cunha Islands",
"AF-030", "Gough Island",
"AF-031", "Tromelin Island",
"AF-032", "Zanzibar Island",
"AF-033", "Amirante Islands",
"AF-035", "Farquhar Islands",
"AF-036", "Chafarinas Islands",
"AF-037", "Sierra Leone Northern/Western Province Group",
"AF-038", "Dahlak Archipelago",
"AF-039", "Annobon (Pagalu) Island",
"AF-040", "Kenya Coast Province North Group",
"AF-041", "Egmont Group",
"AF-042", "Alboran Island",
"AF-043", "Gabon Estuaire Province Group",
"AF-044", "Principe Island",
"AF-045", "Senegal North Group",
"AF-046", "Desertas Islands",
"AF-047", "Selvagens Islands",
"AF-048", "Kerguelen Islands",
"AF-049", "Mauritius Island",
"AF-050", "Dakhlet Nouadhibou / Inchiri Region Group",
"AF-051", "Guinee-Maritime Province South Group",
"AF-052", "Indian Ocean Coast South",
"AF-053", "Gulf of Tadjoura Group",
"AF-054", "Mafia Island",
"AF-056", "Sierra Leone Southern Province Group",
"AF-057", "Madagascar's Coastal Islands West",
"AF-058", "Salomon Group",
"AF-059", "Strait of Mandab Group",
"AF-060", "The Gambia Group",
"AF-061", "Cabo Delgado District Group",
"AF-062", "Suakin Archipelago",
"AF-063", "Pemba Island",
"AF-064", "Western Cape Province South West Group",
"AF-065", "Safi / Essaouira / Agadir Region Group",
"AF-066", "Gaza / Maputo District Group",
"AF-067", "Coast Province South Group",
"AF-068", "Western Sahara South Group",
"AF-069", "Alhucemas Island",
"AF-070", "Karas Region Group",
"AF-072", "Inhambane District Group",
"AF-073", "Sfax Region Group",
"AF-074", "Lindi / Mtwara Region Group",
"AF-075", "Dar Es Salaam / Pwani Region Group",
"AF-076", "Bayelsa / Rivers / Akwa Ibom etc States Group",
"AF-077", "Western Cape Province South Group",
"AF-078", "Senegal South Group",
"AF-079", "Eastern Cape Province Group",
"AF-080", "Red Sea Coast North Group",
"AF-081", "Red Sea Coast South Group",
"AF-082", "Rio Muni Province Group",
"AF-083", "Gabes / Medenine Region Group",
"AF-084", "Ghana Group",
"AF-085", "Western Cape Province North West Group",
"AF-086", "Cape Verde - Windward Islands (aka Barlavento)",
"AF-087", "Tanga Region Group",
"AF-088", "Nampula District Group",
"AF-089", "Ogooue-Maritime Province Group",
"AF-090", "Madagascar's Coastal Islands East",
"AF-091", "Jendouba / Bizerte / Tunis / Nabeul Reg Group",
"AF-092", "Sousse / Monastir / Mahdia Region Group",
"AF-093", "Guinea-Bissau Coastal Region Group",
"AF-094", "Mediterranean Sea Coast West Group",
"AF-095", "Cameroon Group",
"AF-096", "Guinee-Maritime Province North Group",
"AF-097", "Mediterranean Sea Coast Centre Group",
"AF-098", "Sofala District Group",
"AF-099", "Matruh Region Group",
"AF-100", "Bas-Congo Province Group",
"AF-101", "Red Sea Coast North Group",
"AF-102", "Erongo / Hardap Region Group",
"AF-103", "Zambezia District Group",
"AF-104", "Mediterranean Sea Coast East Group",
"AF-105", "Nyanga Province Group",
"AF-106", "Cote d'Ivoire Group",
"AF-107", "Cuanza Sul / Benguela Province Group",
"AF-108", "Namibe Province Group",
"AF-109", "Nile Delta and Sinai Region Group",
"AF-110", "Red Sea Coast South Group",
"AF-111", "Liberia Group",
"AF-112", "Mediterranean Sea Coast Centre Group",
"AF-113", "Mediterranean Sea Coast East Group",
"AF-114", "Halaib Triangle Group",
"AF-115", "Red Sea State Group",
"AF-116", "Gulf of Aden West Group",
"AF-117", "Gulf of Aden East Group",
"AF-118", "Los Farallones and Jaegerschmidt",
"AF-119", "Coetivy Island",
"AN-001", "Graham Land West (Adelaide Island) group",
"AN-002", "Bouvet Island",
"AN-003", "Heard Island",
"AN-004", "Peter 1 Island",
"AN-005", "Macquarie Island",
"AN-006", "Graham Land West (Biscoe Islands) group",
"AN-007", "South Georgia Island",
"AN-008", "South Orkney Islands",
"AN-009", "South Sandwich Islands",
"AN-010", "South Shetland Islands",
"AN-011", "Ross Island group",
"AN-012", "Graham Land West (Palmer Archipelago) group",
"AN-013", "Trinity Peninsula group",
"AN-014", "Berkner Island",
"AN-015", "Queen Maud Land (Prince Harald etc) group",
"AN-016", "Antartica",
"AN-017", "Adelie Land",
"AN-018", "Palmer Land West (aka Alexander Island)",
"AN-019", "Balleny Islands",
"AN-020", "Scott Island",
"AN-021", "Shag Rocks",
"AS-001", "Andaman Islands",
"AS-002", "Bahrain Island",
"AS-003", "Sri Lanka Island",
"AS-004", "Cyprus Island",
"AS-005", "Kara Sea Coast West group",
"AS-006", "Hong Kong group",
"AS-007", "Honshu Island",
"AS-008", "North Izu Islands",
"AS-009", "Red Sea Coast group",
"AS-010", "Zufar Region group",
"AS-011", "Laccadive Islands",
"AS-012", "Kyushu's Coastal Islands",
"AS-013", "Maldive Islands",
"AS-014", "Ash Sharqiyah / Al Wusta Region group",
"AS-015", "Pinang State group",
"AS-016", "Gulf of Aden West group",
"AS-017", "Okinawa Islands",
"AS-018", "Sakhalin Island",
"AS-019", "Singapore Island",
"AS-020", "Taiwan Island",
"AS-021", "Trucial Coast group",
"AS-022", "Medvezh'i Islands (aka Bear Islands)",
"AS-023", "Amami Islands",
"AS-024", "Yaeyama Islands",
"AS-025", "Kuril'skiye (Kuril) Islands",
"AS-026", "Cheju-do Province (Cheju Island) group",
"AS-027", "Vrangelya (Wrangel) Island",
"AS-028", "Anzhu Islands",
"AS-029", "Lyakhovskiye Islands",
"AS-030", "Kazan (Volcano) Islands",
"AS-031", "Chichijima / Mukojima / Hahajima Islands (aka Bonin Islands Ogasawara)",
"AS-032", "Osumi Islands",
"AS-033", "Nicobar Islands",
"AS-036", "Iki / Tsushima Islands",
"AS-037", "Koshikijima Islands",
"AS-038", "East Siberian Sea Coast group",
"AS-039", "Komandorskiye (Commander) Islands",
"AS-040", "Goto Islands",
"AS-041", "Oki Islands",
"AS-042", "Severnaya Zemlya (North Land)",
"AS-043", "South Izu Islands",
"AS-044", "Sea of Okhotsk Coast Centre group",
"AS-045", "Kyongsang-bukto Prov (Ullung Island) group",
"AS-046", "Pahang / Johor State East group",
"AS-047", "Daito Islands",
"AS-048", "De Longa Islands",
"AS-049", "Tokara Islands",
"AS-050", "Sergeya Kirova Islands",
"AS-051", "Spratly Islands",
"AS-053", "Malay Peninsula West group",
"AS-054", "Laptev Sea Coast West group",
"AS-055", "Vize Island",
"AS-056", "Danjo Islands",
"AS-057", "Uyedineniya Island",
"AS-058", "Perlis / Kedah State group",
"AS-059", "Sea of Okhotsk Coast group",
"AS-060", "Cholla-namdo Province group",
"AS-061", "Ratmanova (Big Diomede) Island",
"AS-062", "Habomai Islands",
"AS-063", "Laptev Sea Coast East group",
"AS-064", "Bering Sea Coast group",
"AS-065", "Chukchi Sea Coast East group",
"AS-066", "Sea of Japan Coast group",
"AS-067", "Uji & Kusagaki Islands",
"AS-068", "Kara Sea Coast Centre group",
"AS-069", "Iony Island",
"AS-070", "East Siberian Sea Coast East group",
"AS-071", "Bering Sea Coast North group",
"AS-072", "Perak State group",
"AS-073", "Kelantan / Terengganu State group",
"AS-074", "Selangor / Negeri Sembilan State group",
"AS-075", "Macau group",
"AS-076", "Shikoku Island",
"AS-077", "Kyushu Island",
"AS-078", "Hokkaido Island",
"AS-079", "Miyako Islands",
"AS-080", "Ch'ungch'ong-namdo Province group",
"AS-081", "Kyongsang-bukto / Kyongsang-namdo Province group",
"AS-082", "Laptev Sea Coast Centre group",
"AS-083", "Kara Sea Coast East group",
"AS-084", "Cheju-do Province (Ch'uja Islands) group",
"AS-085", "Cholla-namdo Province (Soan Islands) group",
"AS-086", "Izvestiy TS.I.K Islands",
"AS-087", "Arkticheskogo Instituta Islands",
"AS-088", "Qatar group",
"AS-089", "Kara Sea Coast West group",
"AS-090", "Kyonggi-do Province (Tokchok Islands) group",
"AS-091", "Shelikhova Bay group",
"AS-092", "Bering Sea Coast South group",
"AS-093", "Cholla-namdo Province (Huksan Islands) group",
"AS-094", "Hainan Province (Hainan Island) group",
"AS-095", "Bering Sea Coast group",
"AS-096", "Karnataka State group",
"AS-097", "Melaka / Johor State West group",
"AS-098", "Aydin / Mugla Province group",
"AS-099", "Canakkale / Balikesir / Izmir Province group",
"AS-100", "Israel group",
"AS-101", "Malay Peninsula East group",
"AS-102", "Kinmen (Quemoy) Island",
"AS-103", "P'enghu (Pescadores) Islands",
"AS-104", "Kara Sea Coast East group",
"AS-105", "Kyonggi-do Province group",
"AS-106", "Minicoy Island",
"AS-107", "Gulf of Thailand North group",
"AS-108", "Lebanon group",
"AS-109", "Obskaya Gulf group",
"AS-110", "Tungsha (Pratas) Island",
"AS-111", "The Gulf group",
"AS-112", "Al Batinah / Masqat Region group",
"AS-113", "Matsu Islands",
"AS-114", "Sea of Okhotsk Coast South group",
"AS-115", "Antalya Province group",
"AS-116", "Huang Yan Island (Scarborough Reef)",
"AS-117", "Honshu's Coastal Islands",
"AS-118", "Kuwait group",
"AS-119", "Musandam Region group",
"AS-120", "Cyprus's Coastal Islands",
"AS-121", "Nordenshel'da Archipelago",
"AS-122", "Kyonggi-do Province West group",
"AS-123", "Icel / Adana / Hatay Province group",
"AS-124", "Gulf of Oman group",
"AS-125", "Gulf of Thailand North East group",
"AS-126", "Malay Peninsula South West group",
"AS-127", "Chittagong Region group",
"AS-128", "Gulf of Thailand group",
"AS-129", "Guangdong Province East group",
"AS-130", "South China Sea Coast South group",
"AS-131", "Guangdong Province West group",
"AS-132", "Gulf of Tongking North group",
"AS-133", "Cambodia group",
"AS-134", "Hebei / Tianjin Province group",
"AS-135", "Jiangsu Province group",
"AS-136", "Shanghai Province group",
"AS-137", "Zhejiang Province North group",
"AS-138", "Fujian Province group",
"AS-139", "Guangxi Autonomous Region group",
"AS-140", "Khulna / Barisal Region group",
"AS-141", "Zhejiang Province South group",
"AS-142", "Sea of Okhotsk Coast group",
"AS-143", "Hainan Province (Xisha Islands) group (aka Paracel Islands)",
"AS-144", "Tenasserim Region South group",
"AS-145", "Malay Peninsula South East group",
"AS-146", "Shandong Province North East group",
"AS-147", "Hokkaido's Coastal Islands",
"AS-148", "Cholla-bukto Province group",
"AS-149", "Sakhalin's Coastal Islands",
"AS-150", "Shandong Province South group",
"AS-151", "Liaoning Province West group",
"AS-152", "Laptev Sea Coast West group",
"AS-153", "West Bengal State group",
"AS-154", "Black Sea Coast East group",
"AS-155", "Taiwan's Coastal Islands",
"AS-156", "Ushakova Island",
"AS-157", "South China Sea Coast Centre group",
"AS-158", "Liaoning Province East group",
"AS-159", "Black Sea Coast West group",
"AS-160", "Shandong Province North West group",
"AS-161", "Kerala State group",
"AS-162", "South China Sea Coast North group",
"AS-163", "Laptev Sea Coast East group",
"AS-164", "East Siberian Sea Coast West group",
"AS-165", "Arakan Region group",
"AS-166", "Hormozgan Province group",
"AS-167", "Irrawaddy / Yangon / Pegu Region group",
"AS-168", "Kangwon-do Province group",
"AS-169", "Maharashtra State group",
"AS-170", "Shelikhova Bay group",
"AS-171", "Sri Lanka's Coastal Islands",
"AS-172", "Sea of Okhotsk Coast North group",
"AS-173", "Tamil Nadu State group",
"AS-174", "Chukchi Sea Coast West group",
"AS-175", "Gujarat State West group",
"AS-176", "Gujarat State East group",
"AS-177", "Goa State group",
"AS-178", "Andhra Pradesh State North group",
"AS-179", "Orissa State group",
"AS-180", "Balochistan Province group",
"AS-181", "Sindh Province group",
"AS-182", "Mon Region group",
"AS-183", "Tenasserim Region North group",
"AS-184", "Preparis Channel group",
"AS-185", "Gulf of Tongking South group",
"AS-186", "Syria group",
"AS-187", "Gulf of Aden East group",
"AS-188", "Khuzestan Province group",
"AS-189", "Bushehr Province group",
"AS-190", "Red Sea Coast North (Tabuk Province) group",
"AS-191", "Red Sea Coast Centre (Al Madinah / Makkah Province) group",
"AS-192", "Red Sea Coast South (Jizan Province) group",
"AS-193", "Farasan Islands",
"AS-194", "Senkaku Islands",
"AS-195", "P'yongan-Bukto / P'yongan-Namdo Province group",
"AS-196", "Nam'p'o-si / Hwanghae-Namdo Province group",
"AS-197", "Hamgyong-Bukto / Hamgyong-Namdo Province group",
"AS-198", "Kangwon-do Province group",
"AS-199", "Andhra Pradesh State South group",
"AS-200", "Shikoku Coastal Islands",
"AS-201", "Sea of Marmara Isl.",
"AS-202", "Hawar Isl.",
"AS-203", "Sea of Okhotsk Coast group (Shelikhova Bay group)",
"EU-001", "Dodecanese",
"EU-002", "Aland Islands",
"EU-003", "Eastern Azores group",
"EU-004", "Balearic Islands",
"EU-005", "Great Britain",
"EU-006", "Aran Islands",
"EU-007", "Blasket Islands",
"EU-008", "Inner Hebrides",
"EU-009", "Orkney",
"EU-010", "Outer Hebrides (aka Western Isles)",
"EU-011", "Isles of Scilly",
"EU-012", "Shetland and Fair Isle",
"EU-013", "Jersey",
"EU-014", "Corsica Island",
"EU-015", "Crete Island",
"EU-016", "Dalmatia South group",
"EU-017", "Eolie Islands (aka Lipari Islands)",
"EU-018", "Faroe Islands",
"EU-019", "Franz Josef Land",
"EU-020", "Gotland County (Gotland Island) group",
"EU-021", "Iceland",
"EU-022", "Jan Mayen Island",
"EU-023", "Malta group",
"EU-024", "Sardinia Island",
"EU-025", "Sicily Island",
"EU-026", "Spitsbergen Island (aka Svalbard Island)",
"EU-027", "Bear Island (aka Bjornoya)",
"EU-028", "Toscana (Tuscany) Region group",
"EU-029", "Sjaelland Archipelago",
"EU-030", "Bornholm Island",
"EU-031", "Campania Region group",
"EU-032", "Poitou-Charentes Region group",
"EU-033", "Vesteralen Islands",
"EU-034", "Hiiumaa / Saaremaa / Laanemaa County group",
"EU-035", "Novaya Zemlya",
"EU-036", "Sor-Trondelag / More og Romsdal County North group",
"EU-037", "Kalmar County group",
"EU-038", "Noord Holland / Friesland / Groningen Province group",
"EU-039", "Chausey Islands",
"EU-040", "Estremadura Province group",
"EU-041", "Maddalena Archipelago",
"EU-042", "Schleswig-Holstein State North West group",
"EU-043", "Goteborg och Bohus / Halland County group",
"EU-044", "Finnmark County West group",
"EU-045", "Lazio Region group",
"EU-046", "Troms County group",
"EU-047", "Niedersachsen State group",
"EU-048", "Bretagne (Morbihan) Region group",
"EU-049", "North Aegean Islands (Voreio Aigaio)",
"EU-050", "Puglia (Foggia) Region group",
"EU-051", "Ustica Island",
"EU-052", "Ipeiros / Dytiki Ellas Region group",
"EU-053", "Market Reef",
"EU-054", "Egadi Islands",
"EU-055", "Sogn og Fjordane / Hordaland / Rogaland County group",
"EU-056", "More og Romsdal County Centre group",
"EU-057", "Mecklenburg-Vorpommern State group",
"EU-058", "Provence-Cote d'Azur (Alpes Maritimes) Region group",
"EU-059", "St Kilda",
"EU-060", "Sterea Ellas Region group",
"EU-061", "Vest Agder to Ostfold County group",
"EU-062", "Nordland / Nord-Trondelag County group",
"EU-063", "Spitsbergen's Coastal Islands (aka Svalbard's Coastal Islands)",
"EU-064", "Pays de la Loire Region group",
"EU-065", "Bretagne (Finistere North West) Region group",
"EU-066", "Solovetskiye Islands",
"EU-067", "Kyklades (Cyclades)",
"EU-068", "Bretagne (Finistere South West) Region group",
"EU-069", "Columbretes Islands",
"EU-070", "Provence-Cote d'Azur (Var) Region group",
"EU-071", "Vestmannaeyjay (Westman Islands)",
"EU-072", "Thessalia Region group",
"EU-073", "Puglia (Taranto) Region group",
"EU-074", "Bretagne (Cotes-d'Armor Centre) Region group",
"EU-075", "Peloponnisos (Argolis) / Attiki Region group",
"EU-076", "Lofoten Islands",
"EU-077", "La Coruna / Lugo Province group",
"EU-078", "Gerona Province group",
"EU-079", "More og Romsdal County South group",
"EU-080", "Pontevedra Province group",
"EU-081", "Basse-Normandie (Manche East) Region group",
"EU-082", "Barents Sea Coast West group",
"EU-083", "Liguria Region group",
"EU-084", "Uppsala / Stockholm County group",
"EU-085", "Kolguev Island",
"EU-086", "Pechorskoye Sea Coast East group",
"EU-087", "Vasternorrland County group",
"EU-088", "Kattegat group",
"EU-089", "Western Azores group",
"EU-090", "Palagruza Islands",
"EU-091", "Puglia (Lecce / Brindisi / Bari) Region group",
"EU-092", "Summer Isles",
"EU-093", "Alicante / Murcia Province group",
"EU-094", "Bretagne (Finistere South) Region group",
"EU-095", "Provence-Cote d'Azur (Bouches du Rhone) Region group",
"EU-096", "Lansi-Suomi (Turku) Province group",
"EU-097", "Etela-Suomi (Uusimaa) Province group",
"EU-099", "Les Minquiers Islands",
"EU-100", "Cerbicales Islands",
"EU-101", "Lansi-Suomi (Vaasa) Province group",
"EU-102", "Pechorskoye Sea Coast Centre group",
"EU-103", "Saltee Islands",
"EU-104", "Sanguinaires Islands",
"EU-105", "Bretagne (Finistere North) Region group",
"EU-106", "St Tudwal's Islands",
"EU-107", "Bretagne (Cotes-d'Armor West) Region group",
"EU-108", "Treshnish Isles",
"EU-109", "Farne Islands",
"EU-110", "Istra group",
"EU-111", "Monach Islands",
"EU-112", "Shiant Islands",
"EU-113", "Peloponnisos (Lakonia) / Kythira Region group",
"EU-114", "Guernsey group",
"EU-115", "Ireland (Ireland / Northern Ireland)",
"EU-116", "Isle of Man",
"EU-117", "Malyy Vysotskiy Island",
"EU-118", "Flannan Isles",
"EU-119", "White Sea Coast East group",
"EU-120", "English Coastal Islands",
"EU-121", "Irish Coastal Islands",
"EU-122", "Northern Irish Coastal Islands",
"EU-123", "Scottish Coastal Islands",
"EU-124", "Welsh Coastal Islands",
"EU-125", "Jylland West group",
"EU-126", "Lappi Province group",
"EU-127", "Schleswig-Holstein State South West group",
"EU-128", "Schleswig-Holstein State East group",
"EU-129", "Usedom Island (aka Uznam Island)",
"EU-130", "Friuli-Venezia Giulia Region group",
"EU-131", "Veneto Region group",
"EU-132", "Szczecin / Koszalin Province group",
"EU-133", "Gulf of Finland group",
"EU-134", "Bilbao / San Sebastian (Basque Country) Province group",
"EU-135", "Vasterbotten County group",
"EU-136", "Kvarner group",
"EU-137", "Skane County group",
"EU-138", "Blekinge County group",
"EU-139", "Norrbotten County group",
"EU-140", "Etela-Suomi (Kymi) Province group",
"EU-141", "Finnmark County East group",
"EU-142", "Oviedo / Santander Province group",
"EU-143", "Cadiz / Huelva Province group",
"EU-144", "Calabria / Basilicata region group",
"EU-145", "Algarve Province group",
"EU-146", "Zuid Holland / Zeeland Province group",
"EU-147", "White Sea Coast group",
"EU-148", "Languedoc-Roussillon Region group",
"EU-149", "Tallinn & Harjumaa / Virumaa County group",
"EU-150", "Minho / Douro Litoral / Beira Litoral Province group",
"EU-151", "Castellon / Valencia Province group",
"EU-152", "Almeria / Grande / Malaga Province group",
"EU-153", "White Sea Coast West group",
"EU-155", "Emilia Romagna Region group",
"EU-156", "Basse-Normandie (Manche West) Region group",
"EU-157", "Bretagne (Cotes-d'Armor East / Ille et Vilaine) Region group",
"EU-158", "Peloponnisos (Messinia) Region group",
"EU-159", "Aquitaine Region group",
"EU-160", "Barents Sea Coast group",
"EU-161", "Barents Sea Coast East group",
"EU-162", "White Sea Coast group",
"EU-163", "Montenegro group (aka Crna Gora group)",
"EU-164", "Corsica's Coastal Islands",
"EU-165", "Sardinia's Coastal Islands",
"EU-166", "Sicily's Coastal Islands",
"EU-167", "Baixo Alentejo Province group",
"EU-168", "Iceland's Coastal Islands",
"EU-169", "Albania group",
"EU-170", "Dalmatia North group",
"EU-171", "Jylland North group",
"EU-172", "Jylland East and Fyn group",
"EU-173", "Lansi-Suomi (Pori) Province group",
"EU-174", "Makedonia / Thraki Region group",
"EU-175", "Central Azores group",
"EU-176", "Gavleborg County group",
"EU-177", "Sodermanland / Ostergotland County group",
"EU-178", "Parnumaa County / Saaremaa County South group",
"EU-179", "Black Sea Coast group",
"EU-180", "Black Sea Coast group",
"EU-181", "Bulgaria group",
"EU-182", "Black Sea Coast group",
"EU-183", "Romania group",
"EU-184", "Oulu Province group",
"EU-185", "Black Sea Coast group",
"EU-186", "Turkey group",
"EU-187", "Crete's Coastal Islands",
"EU-188", "Pechorskoye Sea Coast West group",
"EU-189", "Isle of Rockall",
"EU-190", "Viktoriya Isl.",
"EU-191", "Fericirii Isl",
"NA-001", "Great Bahama Bank group",
"NA-002", "Caicos Islands",
"NA-003", "Turks Islands",
"NA-004", "North Slope County Centre group",
"NA-005", "Bermuda Islands",
"NA-006", "Nunavut (Victoria Island) group",
"NA-007", "Nunavut (Southampton Island) group",
"NA-008", "Nunavut (Ellesmere Island) group",
"NA-009", "Nunavut (Parry Islands) group",
"NA-010", "Nova Scotia Province (Cape Breton Island) group",
"NA-011", "Clipperton Island",
"NA-012", "Coco's Island",
"NA-013", "Caribbean Sea Coast Centre group",
"NA-014", "New Brunswick Province South group",
"NA-015", "Cuba (main island and coastal islands not qualifying for other groups)",
"NA-016", "Cayman Islands",
"NA-017", "Baja California State South West group",
"NA-018", "Greenland (main island and coastal islands not qualifying for other groups)",
"NA-019", "Kodiak group",
"NA-020", "Aves Island",
"NA-021", "Barbados",
"NA-022", "Anguilla",
"NA-023", "British Virgin Islands",
"NA-024", "Grenada",
"NA-025", "The Grenadines",
"NA-026", "New York State group",
"NA-027", "Newfoundland Island (main island and coastal islands not qualifying for other groups)",
"NA-028", "Pribilof Islands",
"NA-029", "Prince Edward Island (include satellite islands)",
"NA-030", "Revilla Gigedo Islands",
"NA-031", "Rhode Island State group",
"NA-032", "St Pierre and Miquelon Islands",
"NA-033", "San Andres Island",
"NA-034", "Florida State Centre West (Pasco to Sarasota County) group",
"NA-035", "Santanilla Islands (aka Swan Islands Cisne Islands)",
"NA-036", "British Columbia Province (Vancouver Island) group",
"NA-037", "Near Islands (Semichi Islands) group",
"NA-038", "Quebec Province (La Madeleine Islands) group",
"NA-039", "Andreanof Islands",
"NA-040", "St Lawrence Island",
"NA-041", "Alexander Archipelago",
"NA-042", "Valdez Cordova County West group",
"NA-043", "Nunavut (Sverdrup Islands) group",
"NA-044", "Newfoundland Province (Labrador) South group",
"NA-045", "Quintana Roo State North group",
"NA-046", "Massachusetts State South (Bristol to Barnstable County) group",
"NA-047", "Nunavut (Baffin Island) group",
"NA-048", "Bimini Islands",
"NA-049", "Providencia Island (include Santa Catalina)",
"NA-050", "North Slope County East group",
"NA-051", "British Columbia Province (Queen Charlotte Islands) group",
"NA-052", "Florida State South West (Collier / Monroe County) group",
"NA-053", "Trinity Islands",
"NA-054", "Berry Islands",
"NA-055", "Maine State East (Knox to Washington County) group",
"NA-056", "La Juventud Island",
"NA-057", "Bahia Islands",
"NA-058", "Georgia State group",
"NA-059", "Fox Islands",
